,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,59,814","1,05,778","22,67,633",12.38,83.00,-86.60,"20,550",83.00,83.50,50,"17,000.00",50,144.55,146.80,750,61.00,145.10,16.24,"45,88,313","13,950","1,33,857",
,"45,299","37,853","16,19,854",12.44,63.20,-75.10,50,62.60,63.90,100,"17,050.00",200,172.20,177.90,150,68.85,172.10,16.03,"21,05,611","2,941","19,022",
,"1,97,377","57,758","39,96,666",12.42,46.50,-64.75,50,45.75,47.00,"16,300","17,100.00",100,205.75,210.70,50,85.15,210.60,16.96,"26,68,352","-49,469","83,682",
,"53,537","26,172","14,38,661",12.36,33.10,-54.80,300,33.10,35.00,"4,700","17,150.00",150,241.80,249.70,300,93.65,243.10,16.74,"5,04,585",-596,"13,026",
,"1,63,836","39,656","26,72,447",12.57,24.20,-42.40,200,24.00,24.15,50,"17,200.00",100,286.85,287.20,150,107.60,286.35,17.77,"7,38,268","-15,108","37,369",
,"50,421","8,574","11,21,699",12.59,16.70,-31.60,200,16.70,16.95,300,"17,250.00",100,327.30,331.30,200,114.20,328.05,18.34,"1,04,869","-1,048","4,673",
,"1,35,541","38,306","18,11,061",12.72,11.60,-24.50,"5,650",11.20,12.00,"5,500","17,300.00",50,373.50,375.00,100,124.05,373.50,19.35,"1,96,025","-3,852","28,035",
,"60,362","36,204","9,84,058",12.84,7.90,-18.75,100,7.60,7.90,"1,150","17,350.00",300,416.30,420.00,400,131.10,419.65,20.34,"22,719",-41,"2,313",
,"1,18,243","28,225","14,48,468",13.13,5.65,-12.95,200,5.60,5.65,650,"17,400.00",50,466.25,468.30,50,137.05,468.00,21.66,"40,132","-4,144","22,139",
,"42,918","20,985","7,22,277",13.46,4.10,-9.35,200,4.10,4.25,50,"17,450.00",300,488.00,517.40,50,139.05,514.80,22.58,"3,306",-240,"1,423",
,"1,79,995","63,336","13,82,642",14.10,3.40,-6.65,50,3.25,3.60,"2,350","17,500.00",50,561.30,565.00,350,140.95,564.85,24.13,"26,998","-1,656","36,291",
,"47,052","20,927","5,26,067",14.86,3.00,-4.30,600,2.65,3.00,"3,400","17,550.00",100,610.10,643.55,150,143.00,614.90,25.66,"1,309",96,"1,972",
,"1,06,674","29,365","7,74,743",15.40,2.45,-3.40,"14,200",2.20,2.45,"6,150","17,600.00",50,661.65,665.00,"1,800",155.75,664.00,26.94,"4,775",-165,"27,472",
,"72,754","47,406","4,73,210",15.92,2.00,-2.85,"2,050",2.00,2.35,"2,000","17,650.00",300,684.60,742.60,"3,850",147.60,712.30,27.97,274,-68,"1,841",
,"82,563","-2,021","5,96,993",16.63,1.80,-2.40,50,1.75,2.00,"16,300","17,700.00",50,761.40,764.80,650,147.05,761.45,29.17,"5,822",-267,"23,328",
,"14,172","-4,905","1,38,886",17.65,1.85,-1.70,300,1.75,1.90,100,"17,750.00",300,798.90,842.70,300,160.90,817.55,32.17,171,-28,"1,406",
,"68,535","-24,077","4,83,787",18.38,1.70,-1.65,"6,150",1.55,1.70,"1,800","17,800.00",100,859.60,865.20,50,152.50,858.90,31.23,"4,543","-1,151","19,691",
,"13,126","-11,952","1,20,618",19.67,1.95,-1.15,350,1.65,1.90,"1,850","17,850.00",100,906.75,919.45,550,145.15,910.95,33.18,155,-40,"1,413",
,"49,423",-234,"2,29,156",19.98,1.55,-1.20,"3,550",1.55,1.80,50,"17,900.00",100,955.35,992.65,"1,350",143.25,960.00,34.25,"1,779",-92,"9,685",
,"7,226",320,"42,615",20.79,1.50,-1.05,600,1.45,1.65,350,"17,950.00",100,"1,007.65","1,032.65",150,143.05,"1,005.70",34.21,72,-27,972,
,"2,56,721","-28,902","7,17,332",22.03,1.70,-0.90,"1,750",1.65,1.70,500,"18,000.00",300,"1,057.90","1,062.65",450,149.95,"1,060.15",36.94,"3,422","-1,216","26,642",
,"3,723",-644,"23,241",23.01,1.75,-0.55,"2,700",1.25,1.75,"3,200","18,050.00",250,"1,102.95","1,137.10",850,160.40,"1,101.25",35.17,54,-19,412,
