,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"17,439","9,334","1,40,973",-,28.30,4.40,50,28.20,28.95,50,"17,350.00",50,233.85,289.70,50,-134.90,233.70,-,"4,083","1,320","2,817",
,"45,825","24,642","2,80,364",-,19.60,2.05,700,19.20,19.60,750,"17,400.00",50,273.75,281.60,50,-130.95,280.15,11.35,"12,724","4,669","7,705",
,"29,392","16,587","1,49,057",-,12.80,0.40,450,12.30,12.80,550,"17,450.00",450,318.30,339.85,600,-146.10,318.20,11.91,864,-169,"5,692",
,"62,159","27,305","3,61,792",9.47,8.40,-0.65,50,8.10,8.40,"1,100","17,500.00",100,365.00,369.85,550,-134.15,367.00,-,"15,187","4,356","16,143",
,"14,088","6,456","1,01,464",-,5.15,-1.45,50,5.25,5.40,150,"17,550.00",200,297.15,444.85,600,-148.00,414.50,12.38,686,438,539,
,"35,272","24,255","2,24,222",9.81,3.55,-1.55,50,3.55,3.75,"1,000","17,600.00","1,000",343.10,462.00,400,-132.95,460.95,-,"2,719","1,763","2,882",
,"40,647","5,137","74,823",10.22,3.65,-0.80,50,2.85,3.90,600,"17,650.00",200,376.70,535.00,50,-142.00,509.65,13.54,573,71,"32,482",
,"72,209","22,634","2,08,878",-,2.60,-1.35,"3,750",2.40,2.60,"1,500","17,700.00",50,500.00,599.60,50,-140.55,562.00,-,"2,323","1,462","34,332",
,"7,001","2,811","33,521",11.45,2.45,-1.25,100,2.00,2.50,300,"17,750.00","1,000",475.95,610.00,300,-135.15,614.20,-,256,218,249,
,"1,31,917","1,21,319","3,98,266",-,2.10,-1.15,50,2.15,2.20,200,"17,800.00",50,606.00,661.95,600,-137.35,661.95,-,"2,407","1,202","16,074",
,"23,455","2,024","16,942",12.62,2.00,-0.95,"1,500",1.30,2.00,300,"17,850.00","1,750",555.50,784.55,"1,000",-93.80,706.90,-,"1,075",57,"20,191",
,"52,400","28,039","1,67,896",-,1.70,-0.95,50,1.75,2.05,"3,300","17,900.00","1,750",623.75,834.50,50,-131.30,761.00,-,"1,026",836,"21,663",
,"2,600","2,009","15,817",-,1.95,-0.60,300,1.40,1.95,"1,150","17,950.00","1,050",802.85,870.20,50,-85.00,815.00,-,17,15,25,
,"50,332","38,203","1,81,700",-,1.45,-0.95,"27,500",1.40,1.50,"20,900","18,000.00",150,850.00,862.00,50,-140.60,859.00,-,"6,816","4,185","5,925",
,"1,082",237,"7,786",-,1.45,-0.60,100,1.45,2.20,600,"18,050.00","1,500",754.40,"1,062.25","1,500",-,-,-,-,-,-,
,"7,615","4,338","30,931",-,1.45,-0.45,950,1.35,1.45,300,"18,100.00",800,953.10,973.00,50,-161.90,953.10,-,90,77,137,
,273,206,"1,388",-,1.40,-0.50,650,1.25,1.40,200,"18,150.00","1,750",766.00,"1,078.85","1,500",-40.00,"1,120.00",-,37,36,48,
,"9,113","6,784","30,863",-,1.35,-0.35,"3,950",1.15,1.45,300,"18,200.00",250,"1,052.05","1,059.90",50,-120.00,"1,058.00",-,"1,159","1,136","1,149",
,710,397,929,-,1.25,-0.35,450,1.15,1.25,"1,100","18,250.00","1,750",888.05,"1,252.65","1,500",307.55,"1,240.00",-,6,4,4,
,"3,533","2,738","9,453",-,1.25,-0.30,"1,800",1.15,1.25,950,"18,300.00","1,800","1,136.45","1,239.95","1,000",-149.75,"1,135.25",-,764,552,557,
,45,1,54,-,1.30,-0.65,250,1.20,1.80,200,"18,350.00","1,500","1,069.10","1,283.45","1,500",-,-,-,-,-,-,
,"2,454","1,613","5,367",-,1.40,-0.15,"1,000",1.20,1.40,150,"18,400.00","1,750","1,117.35","1,377.60","1,000",-56.35,"1,263.65",-,222,214,229,
