,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"49,846","31,529","18,50,215",17.84,68.00,-58.75,"3,800",68.00,70.55,300,"16,950.00",600,40.70,41.95,200,-12.50,40.70,13.54,"32,43,520","17,855","63,318",
,"2,89,081","80,698","47,62,283",16.70,42.90,-53.25,50,41.30,43.00,"12,850","17,000.00","2,700",63.60,64.40,400,-5.95,64.40,12.30,"48,70,216","-39,264","2,03,811",
,"1,17,937","50,442","24,64,033",15.97,24.10,-46.25,"4,350",23.00,23.85,50,"17,050.00",50,93.25,95.00,50,3.00,94.50,10.43,"15,15,167","-6,684","21,089",
,"2,47,985","71,375","35,16,790",15.57,12.50,-36.90,950,12.05,12.20,50,"17,100.00",350,132.05,135.00,"1,000",16.25,134.90,-,"15,81,420","-10,523","61,923",
,"1,23,185","59,193","19,76,230",15.29,5.25,-26.70,450,5.25,5.80,"1,550","17,150.00",50,175.85,179.45,50,24.65,178.00,-,"2,76,222","-3,845","8,703",
,"2,08,194","40,939","27,33,948",15.91,2.85,-16.80,50,2.85,3.10,50,"17,200.00",50,223.05,226.10,50,35.05,225.15,-,"4,26,430","-11,616","34,453",
,"1,21,104","35,160","15,93,678",16.97,1.95,-9.45,"12,250",1.70,1.95,50,"17,250.00",150,271.35,275.00,100,42.25,271.55,-,"49,365","-1,476","3,524",
,"1,88,505","34,554","15,74,414",18.46,1.65,-5.10,"3,600",1.35,1.65,"1,450","17,300.00",300,320.95,324.55,50,45.75,322.05,-,"61,565","-2,445","25,465",
,"93,128","5,995","9,06,438",20.41,1.35,-3.00,950,1.20,1.40,150,"17,350.00",50,370.60,397.80,700,47.15,371.55,-,"4,502",-567,"1,764",
,"1,20,124","-6,803","10,31,955",21.93,1.10,-2.10,"1,900",1.00,1.10,900,"17,400.00",550,420.90,430.70,350,44.20,422.55,-,"13,021","-1,766","19,169",
,"34,628","-27,608","4,01,747",23.73,1.10,-1.45,450,0.80,1.10,100,"17,450.00",150,469.95,500.55,450,42.10,470.15,-,"2,332",-25,"1,262",
,"1,77,658","-10,004","8,25,320",25.43,0.90,-1.15,900,0.85,0.90,400,"17,500.00",50,520.50,523.50,50,45.35,521.10,-,"13,969","-1,633","32,183",
,"23,075","-11,154","1,88,954",27.47,0.95,-0.75,"1,700",0.70,0.95,"1,900","17,550.00",50,569.85,581.70,450,39.50,569.80,-,"1,011",304,"2,089",
,"88,121","-14,602","4,56,707",28.75,0.80,-0.75,450,0.60,0.80,"1,600","17,600.00",150,620.15,623.60,200,40.65,617.55,-,"3,781","-1,398","24,788",
,"35,145","-4,261","1,26,396",30.42,0.65,-0.75,"8,550",0.50,0.70,"8,350","17,650.00","2,650",662.00,674.20,150,35.90,667.20,-,"1,017",-86,"1,631",
,"67,058","-11,324","2,87,629",32.34,0.60,-0.80,"20,000",0.55,0.60,"14,750","17,700.00",150,718.65,722.35,950,39.00,716.00,-,"3,100",-991,"21,291",
,"11,018","-1,709","59,097",34.24,0.85,-0.45,650,0.60,0.85,100,"17,750.00",100,768.75,800.10,"3,150",64.30,778.50,-,372,-139,"1,279",
,"1,23,355","6,187","2,85,862",36.45,0.70,-0.65,"70,700",0.60,0.70,"19,650","17,800.00","1,200",818.55,825.10,50,51.30,818.15,-,"3,306","-2,115","15,739",
,"10,709","-1,659","35,850",38.34,0.75,-0.50,250,0.55,1.00,100,"17,850.00",50,868.00,900.50,300,46.55,878.85,-,484,-309,"1,093",
